MO - Pago Seguro - Operaciones - Cantidad de operaciones en cada estado en un rango de fechas,Cantidad de operaciones de PS en cada estado en un rango de fechas
MO - Pago Seguro - Operaciones - Detalle de operaciones de PS filtradas por estado y rango de fecha,Detalle de operaciones de PS filtradas por estado y rango de fecha
MO - Pago Seguro - Mediacion - Cantidad de compradores que solicitaron mediacion y el vendedor no respondio,Cantidad de comrpadores que solicitaron mediacion y el vendedor no respondio
MO - Pago Seguro - Mediacion - Detalle de operaciones de compradores que solicitaron mediacion y el vendedor no respondio,Detalle de operaciones de compradores que solicitaron mediacion y el vendedor no respondio
MO - Pago Seguro - Solicitudes - Cantidad de pedidos pendientes de pago seguro,Cantidad de pedidos pendientes de pago seguro
MO - Pago Seguro - Solicitudes - Detalle de pedidos pendientes de pago seguro,Detalle de pedidos pendientes de pago seguro
MO - Pago Seguro - Solicitudes - Cantidad de pedidos aceptados de pago seguro,Cantidad de pedidos aceptados de pago seguro
MO - Pago Seguro - Solicitudes - Detalle de pedidos aceptados de pago seguro,Detalle de pedidos aceptados de pago seguro
MO - Reporting - Usuarios no validados,Usuarios no validados en un rango de fechas
MO - Reporting - Mails enviados por fecha y hora,Mails enviados por fecha y hora
MO - Reporting - Mails enviados por rango de fechas,Mails enviados por rango de fechas
MO - MAILS - Mails erroneos,Cantidad de mails con estado erroneo
MO - Mails Enviados - Resumen,reporte de mails enviados
MO - Reporting - Movimientos de un aviso archivado,Movimientos de un aviso
MO - Reporting - Reporte diario de cargos cerrado,Reportes de cargos generados ayer
MO - Facturacion - Perfiles de usuarios y rubros,Perfiles de usuarios y rubros
MO - Gestion - Usuarios en condiciones de ser inhabilitados,Usuarios en condiciones de ser inhabilitados
MO - Gestion - Monto por el que sera inhabilitado un usuario,Monto por el que sera inhabilitado un usuario
MO - Facturacion - Perfiles de usuarios y rubros detalle,Perfiles de usuarios y rubros detalle
MO - Inhabilitaciones - Detalle,Detalle de Inhabilitaciones
MO - Cargos - Resumen,Resumen de cargos
MO - Reporting - Control de cargos generados,Control de cargos generados
MO - Reporting - Clientes en limite de credito,Clientes en limite de credito
MO - REPORTE DE CORRECCION DE CARGOS,Cargos corregidos por el proceso automático de corrección de cargos
MO - Monitoreo - Passwords monitoreadas,Passwords monitoreadas
MO - Monitoreo - Telefonos monitoreados,Telefonos monitoreados
MO - Monitoreo - Usuarios con mas de 3 compras en el dia,Usuarios con mas de 3 compras en el día
MO - Monitoreo - Apellidos monitoreados,Apellidos monitoreados
MO - Monitoreo - IPs monitoreadas,IPs monitoreadas
MO - Consistencia - Cargos ENVIADOs que no figuran en ERP_MOVIMIENTO,Cargos enviados (enlotados) que no figuran en ERP_MOVIMIENTO (filtrado por fecha de generacion del lote)
MO - Monitoreo - Cantidad de mails pendientes de enviar,Cantidad de mails pendientes de enviar
MO - Consistencia - Movimientos sin PDFs (exceptuando notas de crèdito),Movimientos sin PDFs (exceptuando notas de crèdito)
MO - Reporting - Suspensiones de un usuario,Suspensiones de un usuario
MO - Reporting - Apercibimientos,Apercibimientos
MO - Administracion Datos Facturación,Adminstrar los DF
MO - DIARIO Verificacion Envio Mails,Verificacion encolamiento de mails a traves de la tabla mail_registro
MO - Verificacion de Mails Erroneos ,Verifica si quedaron mail con error en la tabla mail_registro
MO - Verificacion Replicador HTML y Resize de Imagenes,te dice si existieron problemas con el Replicador de HTMLs y el Resize de Imágenes
MO - Consistencia - Operaciones de PS PAGADAS hace mas de 14 días,Operaciones de PS PAGADAS hace mas de 14 días
MO - Monitoreo - Operaciones de PS > 500$ (Sabados y Domingos 8am),Operaciones de PS > 500$ (entre las 16pm del dia anterior y las 8am de hoy)
MO - Monitoreo - Operaciones de PS > 500$ (Sabados y Domingos 16pm),Operaciones de PS > 500$ (entre las 8am del dia de hoy y las 16pm)
MO - Reporting - Cantidad de preguntas y respuestas moderadas,Cantidad de preguntas y respuestas moderadas
MO - Reporting - Reporte de cobros por fecha,Reporte de cobros por fecha
MO - DIARIO Verificacion del proceso Cierre de Avisos,Muestra la cantidad de avisos que faltan correr
MO - Reporting - Movimientos en la cuenta de un usuario 2,Movimientos en la cuenta de un usuario (ERP_MOVIMIENTO) - montos agrupados por tipo de cargo
MO - MENSUAL GV Reputacion, Avisos Activos y Cargos GV con Cargos,Ejecutar los dias 1. Parametros del 1 al 31 del mes anterior
MO - MENSUAL GV Reputacion, Avisos Activos y Cargos GV con Anulados,Ejecutar los dias 1. Parametros del 1 al 31 del mes anterior
MO - MENSUAL Recluting - Cuenta de Avisos Activos,Mensual
MO - MENSUAL Recluting - Cuenta de Avisos Historicos,Exportar como CSV +200Mil registros - tarda mucho(pedir a soporte)
MO - MENSUAL Recluting - QVentasyDestaques,Ejecutar los dias 1. Parametros del 1 al 31 del mes anterior
MO - MENSUAL General Q Avisos Activos-Tipo Aviso,Mensual Reporte General
MO - MENSUAL General Q Ventas GMS,Ejecutar los dias 1. Parametros del 1 al 31 del mes anterior
MO - Inhabilitaciones - Detalle - Backup,Detalle de Inhabilitaciones
MO - Inhabilitaciones - Resumen,Resumen de Inhabilitaciones
