name,parameter_id,"case rpm.required when 1 then 'YES' else 'NO'end",sort_order,step
"DESA MO - Cargos - Resumen - BACK",62,NO,0,0
"MO - Facturacion - Resumen",62,NO,0,0
"MO - Cargos - Resumen",49,NO,0,0
"Promociones Comprador",46,YES,0,0
"Promociones Comprador",53,YES,0,0
"Promociones Comprador",56,NO,0,0
"MO - Pago Seguro - Mediaciones ",92,NO,0,0
"MO - Pago Seguro - Mediaciones ",93,NO,0,0
"MO - Reporting - Movimientos de un aviso",105,NO,0,0
"MO - Pago Seguro - Mediaciones ",90,NO,0,0
"MO - Reporting - Reporte de cargos",47,YES,0,0
"MO - Gestion - Usuarios en condiciones de ser inhabilitados",63,YES,0,0
"MO - Reporting - Clientes en limite de credito",63,YES,0,0
"MO - Pago Seguro - Operaciones - Detalle de operaciones de PS filtradas por estado y rango de fecha",57,YES,2,0
"MO - Reporting - Mails enviados por fecha y hora",54,YES,0,0
"MO - Reporting - Reporte de cobros por fecha",54,YES,0,0
"MO - Usuarios con avisos que se inactivaron ayer",54,YES,0,0
"MO - Estadistica - Destaques por hora",54,YES,0,0
"MO - Estadistica - Comisiones por hora",54,YES,0,0
"MO - Estadistica - Publicaciones por hora",54,YES,0,0
"MO - Estadistica - Registros por hora",54,YES,0,0
"MO - Pago Seguro - Operaciones - Cantidad de operaciones en cada estado en un rango de fechas",88,YES,0,0
"MO - Pago Seguro - Operaciones - Detalle de operaciones de PS filtradas por estado y rango de fecha",88,YES,0,0
"MO - Pago Seguro - Mediacion - Cantidad de compradores que solicitaron mediacion y el vendedor no respondio",88,YES,0,0
"MO - Pago Seguro - Mediacion - Detalle de operaciones de compradores que solicitaron mediacion y el vendedor no respondio",88,YES,0,0
"MO - Pago Seguro - Solicitudes - Cantidad de pedidos pendientes de pago seguro",88,YES,0,0
"MO - Pago Seguro - Solicitudes - Detalle de pedidos pendientes de pago seguro",88,YES,0,0
"MO - Pago Seguro - Solicitudes - Cantidad de pedidos aceptados de pago seguro",88,YES,0,0
