SYZGB,Reception - ACBE - SB/CS   
SYZGC,Reception - RECEPTION - ACBE - GDO 
SYZGA,Reception - ACBE - SITEL CLI  
SYZ3D,Alimentation CPP      
SYZAR,Reception - ACSE - SB/CS   
SYZUP,Emission Neolane Journalier - ACHR   
SYZUR,Reception - APES - SITEL VRM  
SYZUX,Reception - APES - SITEL CLI  
SYZUY,Reception - APES - SB/CS   
SYZUE,Reception - ACFR - FU VEHICULE  
SYZUF,Reception - APIT - FU EM ORPHELINS 
SYZUG,Reception - APIT - FU PARTUCULIER  
SYZUA,Reception - APCH - SITEL CLI  
SYZUB,Reception - APCH - SB/CS   
SYZSYFT,       
SYZUK,Reception - APUK - PPP   
SYZU4,Reception - ACFR - Reprise - Contacts 
SYZU5,Reception - APBE - NEOLANE   
SYZU6,Emission Neolane Journalier - APBE   
SYZU7,Emission - APBE - Neolane Mensuel  
SYZU2,Reception - ACFR - Reprise - Societe 
SYZU3,Reception - ACFR - Reprise - Contacts 
SYZU8,Emission Reporting Journalier - APBE   
SYZU9,Emission - APBE - Reporting Mensuel  
SYZY3,Reception - ACNO - FU EM ORPHELINS 
SYZCB,Reception - ACHU - CPP   
SYZCC,Reception - ACHU - AI   
SYZCA,Reception - ACHU - AO   
SYZCE,CREATION DE EVENEMENTS     
SYZCJ,Reception - ACHU - SAGAI   
SYZCK,Reception - ACHU - NSID   
SYZCH,Reception - ACHU - SITEL VRM  
SYZCI,Reception - ACHU - FICHS. INTRANET  
SYZCN,Reception - ACHU - SITEL CLI  
SYZCR,Reception Implicite CPP     
SYZCS,Reception - ACHU - NEOLANE   
SYZCP,Reception - ACHU - SB/CS   
SYZCQ,Reception - RECEPTION - ACHU - GDO 
SYZCV,Reception - ACCZ - DIALOG   
SYZCW,Reception - ACCZ - ARCAD   
SYZCT,Emission Reporting Mensuel - APPT   
SYZCU,Reception - ACHU - FU PARTICULIER  
SYZCZ,Reception - ACCZ - AI   
SYZCX,Reception - ACCZ - AO   
SYZCY,Reception - ACCZ - CPP   
SYZHW,Reception - ACIT - AI   
SYZHV,Reception - ACIT - CPP   
SYZHU,Reception - ACIT - AO   
SYZHT,Reception - ACIT - ARCAD   
SYZHS,Reception - ACIT - DIALOG   
SYZHR,Reception - ACFR - Reprise - Véhicules 
SYZHQ,Emission Reporting Journalier - ACFR   
SYZCE1,Emission CUSCO Mensuel - ACES   
SYZZ5,Reception - APHR - SB/CS   
SYZCE2,Emission CUSCO Mensuel - ACES   
SYZHY,Reception - ACIT - ARCAD V2  
SYZHG,Reception - APGB - SAGAI   
SYZHE,Reception - APUK - SITEL VRM  
SYZFN,Reception - ACES - SB/CS   
SYZHRR,Reception - ACFR - Reprise - Véhicules 
SYZHA,Reception - APGB - ARCAD V2  
SYZFI,Reception - ACES - NSID   
SYZHL,Reception - APGB - SB/CS   
SYZHK,Reception - APUK - SITEL CLI  
SYZCE5,Emission CUSCO Mensuel - ACIT   
SYZH6,Reception - ACIT - CUSCO   
SYZH5,Reception - ACIT - NSID   
SYZH4,Reception - ACIT - SAGAI   
SYZH3,Reception - ACIT - FICHS. INTRANET  
SYZH2,Reception - ACIT - SITEL VRM  
SYZH1,Reception - ACIT - OPV   
SYZZR,Reception - APHR - PPP   
SYZH9,Reception - ACIT - SB/CS   
SYZH8,Reception - ACIT - SITEL CLI  
SYZZI,Reception - RECEPTION - ACHR - GDO 
SYZZH,Reception - ACHR - SB/CS   
SYZZK,Reception - ACSE - FU EM ORPHELINS 
SYZZM,Reception - ACNO - FU VEHICULE  
SYZZL,Reception - ACDK - FU VEHICULE  
SYZZA,Reception - ACHR - SITEL VRM  
SYZZC,Reception - ACHR - SAGAI   
SYZZB,Reception - ACHR - FICHS. INTRANET  
SYZZD,Reception - ACHR - NSID   
SYZZG,Reception - ACHR - SITEL CLI  
SYZC2,Emission - ACES - Reporting Mensuel  
SYZC3,Emission Reporting Journalier - ACPL   
SYZC6,Reception - ACCZ - FICHS. INTRANET  
SYZC7,Reception - ACCZ - SAGAI   
SYZC5,Reception - ACCZ - SITEL VRM  
SYZC8,Reception - ACCZ - NSID   
SYZRI1,BACKUP RMAN INC0+ARC DE LA BASE  
SYZRI0,BACKUP RMAN INC0+ARC DE LA BASE  
SYZQX,Reception - ACFR - SAGAI   
SYZQY,Reception - ACFR - NSID   
SYZQZ,Reception - ACFR - CUSCO   
SYZQP,Reception - ACFR - CPP   
SYZQQ,Reception - ACFR - AI   
SYZQR,Reception - ACFR - ARCAD V2  
SYZQS,Reception - ACFR - Reprise - Particulier 
SYZQT,Reception - ACHR - FU EM ORPHELINS 
SYZQU,Reception - ACFR - OPV   
SYZQV,Reception - ACFR - SITEL VRM  
SYZQW,Reception - ACFR - FICHS. INTRANET  
SYZQL,Reception - ACFR - DIALOG   
SYZQM,Reception - ACFR - ARCAD   
SYZQN,Reception - ACFR - AO   
SYZQC,Reception - APFR - CUSCO   
SYZQE,Reception - APDE - SITEL CLI  
SYZQF,Reception - APDE - SB/CS   
