SYZSQ010 ,"  uxlst upr upr=SYZSQ010  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSQ010 ,"Loader - RECEPTION - APAT"
SYZSQ020 ,"  uxlst upr upr=SYZSQ020  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSQ020 ,"Control & Normalisation - RECEPTION"
SYZSQ025 ,"  uxlst upr upr=SYZSQ025  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSQ025 ,"Post - RECEPTION - APAT"
SYZSQ030 ,"  uxlst upr upr=SYZSQ030  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSQ030 ,"Correction Adresses - RECEPTION -"
SYZSQ040 ,"  uxlst upr upr=SYZSQ040  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSQ040 ,"Alimentation - APAT - FU_L_VEHICULE"
SYZSQRLS ,"  uxlst upr upr=SYZSQRLS  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSQRLS ,"Libére la ressource - RECEPTION"
SYZSQU89 ,"  uxlst upr upr=SYZSQU89  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSQU89 ,"Poste de fin - RECEPTION"
SYZSTU09 ,"  uxlst upr upr=SYZSTU09  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSTU09 ,"Poste de début - RECEPTION"
SYZSTHLD ,"  uxlst upr upr=SYZSTHLD  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSTHLD ,"hold ressource   "
SYZST010 ,"  uxlst upr upr=SYZST010  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZST010 ,"Loader - RECEPTION - APNL"
SYZST020 ,"  uxlst upr upr=SYZST020  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZST020 ,"Control & Normalisation - RECEPTION"
